job_id,title,company,location,employment_type,work_mode,posted,applicants,easy_apply,promoted,off_linkedin_apply,seniority,leadership_role,salary,salary_benefits,url,total_candidates,company_industry,company_size,company_followers,company_employees_linkedin,company_total_employees,company_growth_2yr,company_median_tenure,has_full_description
4240421724,Accelerated Command,Emirates,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,Reposted 1 day ago,Over 100 people clicked apply,True,True,True,Senior,,,"We offer a competitive total remuneration package, paid tax free in Dubai. You can find out more about our airline, our employee benefits and living in Dubai on our careers website.",https://www.linkedin.com/jobs/view/4240421724,"69,570",Airlines and Aviation,10001+ employees,"5,140,615","69,570",69570,,5.5 years,True
4301252291,AI Mentor Talent Pool – Contractor Roles,Udacity,United Arab Emirates,Part-time,On-site,Reposted 5 days ago,Over 100 people clicked apply,True,True,True,Lead,,,,https://www.linkedin.com/jobs/view/4301252291,"3,182",E-learning,201-500 employees,"507,095","3,182",3182,,4.5 years,True
4306608864,Advancement Officer,Ajman University,United Arab Emirates,Full-time,On-site,Reposted 5 months ago,Over 100 people clicked apply,False,False,True,Director,,,,https://www.linkedin.com/jobs/view/4306608864,"2,702",,501-1000 employees,"133,272","2,702",2702,,4.6 years,True
4306614295,Manager of Alumni Affairs Office,Ajman University,United Arab Emirates,Full-time,On-site,Reposted 5 months ago,Over 100 people clicked apply,True,False,True,Manager,,,,https://www.linkedin.com/jobs/view/4306614295,"2,702",,501-1000 employees,"133,271","2,702",2702,,4.6 years,True
4309462841,Assistant/Associate/Professor in Entrepreneurship,"United Arab Emirates University, Department of Family Medicine","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,5 months ago,Over 100 people clicked apply,True,False,True,Associate,,,,https://www.linkedin.com/jobs/view/4309462841,349,Higher Education,1001-5000 employees,"9,026",9,,,,True
4311391585,Administrative Officer-Part Time,Office of Advancement and Alumni Affairs,"Sharjah, Sharjah Emirate, United Arab Emirates",Part-time,On-site,Reposted 5 days ago,Over 100 people clicked apply,True,True,True,Executive,,,,https://www.linkedin.com/jobs/view/4311391585,"2,547",Higher Education,501-1000 employees,"141,059","2,547",2547,,3.7 years,True
4312704411,AI Engineer,Technology Innovation Institute,United Arab Emirates,Full-time,On-site,Reposted 1 day ago,Over 100 people clicked apply,True,True,True,Entry level,,,,https://www.linkedin.com/jobs/view/4312704411,"1,243",Research Services,1001-5000 employees,"221,142","1,242",1243,,2.7 years,True
4312712098,Senior Robotics RL Engineer,Technology Innovation Institute,United Arab Emirates,Full-time,On-site,Reposted 1 day ago,Over 100 people clicked apply,True,True,True,Senior,,,,https://www.linkedin.com/jobs/view/4312712098,"1,243",Research Services,1001-5000 employees,"221,141","1,242",1243,,2.7 years,True
4314732242,Digital Transformation Ambassador,Al Ghurair,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,5 months ago,Over 100 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4314732242,"4,578",Holding Companies,10001+ employees,"516,482","4,578",4578,,2.7 years,True
4315015378,[Expired] UAE – Fully Funded PhD in Artificial Intelligence at United Arab Emirates University,PhDFinder,United Arab Emirates,Full-time,On-site,5 months ago,59 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4315015378,59,,11-50 employees,"31,325",2,,,,True
4326164864,Community Lead,Noon - The Social Learning Company,"Riyadh, Riyadh, Saudi Arabia",Full-time,On-site,3 months ago,Over 100 people clicked apply,False,False,True,Lead,,$41,,https://www.linkedin.com/jobs/view/4326164864,472,Primary and Secondary Education,51-200 employees,"90,620",472,472,,3.3 years,True
4327180451,Product Owner – AI Solutions,Nagarro,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,Reposted 3 days ago,Over 100 applicants,True,True,False,senior,,,,https://www.linkedin.com/jobs/view/4327180451,"22,078",IT Services and IT Consulting,10001+ employees,"1,708,382","22,078",22078,,3.6 years,True
4335066043,Machine Learning - Open Rank Faculty,MBZUAI (Mohamed bin Zayed University of Artificial Intelligence),"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,4 months ago,Over 100 people clicked apply,True,False,True,Director,,,,https://www.linkedin.com/jobs/view/4335066043,931,,51-200 employees,"96,189",931,931,,1.4 years,True
4335163284,Lead Researcher,Technology Innovation Institute,United Arab Emirates,Full-time,On-site,Reposted 1 week ago,Over 100 people clicked apply,True,True,True,Lead,,,,https://www.linkedin.com/jobs/view/4335163284,"1,243",Research Services,1001-5000 employees,"221,142","1,242",1243,,2.7 years,True
4340226543,GenAI & AgenticAI Architect - AbuDhabi,NorthBay Solutions,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,4 months ago,87 applicants,True,False,False,Lead,,$80/hr,,https://www.linkedin.com/jobs/view/4340226543,405,IT Services and IT Consulting,201-500 employees,"93,638",405,405,,4.1 years,True
